count, name, index, memory.total [MiB], memory.used [MiB], utilization.gpu [%], utilization.memory [%], power.management, power.draw [W]
8, A100-SXM-80GB, 6, 81252 MiB, 2200 MiB, 93 %, 48 %, Enabled, 260.82 W
8, A100-SXM-80GB, 7, 81252 MiB, 2200 MiB, 88 %, 47 %, Enabled, 252.52 W
8, A100-SXM-80GB, 0, 81252 MiB, 2200 MiB, 89 %, 48 %, Enabled, 262.02 W
8, A100-SXM-80GB, 1, 81252 MiB, 2200 MiB, 93 %, 48 %, Enabled, 263.43 W
8, A100-SXM-80GB, 2, 81252 MiB, 2200 MiB, 92 %, 48 %, Enabled, 274.39 W
8, A100-SXM-80GB, 3, 81252 MiB, 2200 MiB, 93 %, 48 %, Enabled, 285.06 W
8, A100-SXM-80GB, 4, 81252 MiB, 2200 MiB, 94 %, 48 %, Enabled, 298.71 W
8, A100-SXM-80GB, 5, 81252 MiB, 2200 MiB, 92 %, 48 %, Enabled, 284.47 W
8, A100-SXM-80GB, 6, 81252 MiB, 2200 MiB, 93 %, 48 %, Enabled, 260.82 W
8, A100-SXM-80GB, 7, 81252 MiB, 2200 MiB, 88 %, 47 %, Enabled, 253.52 W
8, A100-SXM-80GB, 0, 81252 MiB, 2200 MiB, 89 %, 47 %, Enabled, 262.02 W
8, A100-SXM-80GB, 1, 81252 MiB, 2200 MiB, 93 %, 48 %, Enabled, 263.43 W
8, A100-SXM-80GB, 2, 81252 MiB, 2200 MiB, 96 %, 50 %, Enabled, 272.26 W
8, A100-SXM-80GB, 3, 81252 MiB, 2200 MiB, 93 %, 48 %, Enabled, 285.92 W
8, A100-SXM-80GB, 4, 81252 MiB, 2200 MiB, 94 %, 48 %, Enabled, 298.71 W
8, A100-SXM-80GB, 5, 81252 MiB, 2200 MiB, 96 %, 50 %, Enabled, 284.47 W
8, A100-SXM-80GB, 6, 81252 MiB, 2200 MiB, 93 %, 48 %, Enabled, 260.82 W
8, A100-SXM-80GB, 7, 81252 MiB, 2200 MiB, 88 %, 47 %, Enabled, 253.52 W
8, A100-SXM-80GB, 0, 81252 MiB, 2200 MiB, 89 %, 47 %, Enabled, 260.49 W
8, A100-SXM-80GB, 1, 81252 MiB, 2200 MiB, 93 %, 48 %, Enabled, 264.36 W
8, A100-SXM-80GB, 2, 81252 MiB, 2200 MiB, 96 %, 50 %, Enabled, 272.26 W
8, A100-SXM-80GB, 3, 81252 MiB, 2200 MiB, 96 %, 50 %, Enabled, 285.92 W
8, A100-SXM-80GB, 4, 81252 MiB, 2200 MiB, 94 %, 48 %, Enabled, 298.98 W
8, A100-SXM-80GB, 5, 81252 MiB, 2200 MiB, 96 %, 50 %, Enabled, 286.26 W
8, A100-SXM-80GB, 6, 81252 MiB, 2200 MiB, 93 %, 48 %, Enabled, 258.97 W
8, A100-SXM-80GB, 7, 81252 MiB, 2200 MiB, 92 %, 49 %, Enabled, 254.99 W
8, A100-SXM-80GB, 0, 81252 MiB, 2200 MiB, 89 %, 47 %, Enabled, 260.49 W
8, A100-SXM-80GB, 1, 81252 MiB, 2200 MiB, 96 %, 50 %, Enabled, 264.36 W
8, A100-SXM-80GB, 2, 81252 MiB, 2200 MiB, 96 %, 50 %, Enabled, 275.87 W
8, A100-SXM-80GB, 3, 81252 MiB, 2200 MiB, 96 %, 50 %, Enabled, 285.92 W
8, A100-SXM-80GB, 4, 81252 MiB, 2200 MiB, 94 %, 48 %, Enabled, 298.98 W
8, A100-SXM-80GB, 5, 81252 MiB, 2200 MiB, 96 %, 50 %, Enabled, 286.26 W
8, A100-SXM-80GB, 6, 81252 MiB, 2200 MiB, 93 %, 48 %, Enabled, 258.97 W
8, A100-SXM-80GB, 7, 81252 MiB, 2200 MiB, 92 %, 49 %, Enabled, 254.99 W
8, A100-SXM-80GB, 0, 81252 MiB, 2200 MiB, 89 %, 47 %, Enabled, 260.49 W
8, A100-SXM-80GB, 1, 81252 MiB, 2200 MiB, 96 %, 50 %, Enabled, 264.36 W
8, A100-SXM-80GB, 2, 81252 MiB, 2200 MiB, 96 %, 50 %, Enabled, 275.87 W
8, A100-SXM-80GB, 3, 81252 MiB, 2200 MiB, 96 %, 50 %, Enabled, 285.92 W
8, A100-SXM-80GB, 4, 81252 MiB, 2200 MiB, 94 %, 48 %, Enabled, 298.98 W
8, A100-SXM-80GB, 5, 81252 MiB, 2200 MiB, 96 %, 50 %, Enabled, 286.26 W
8, A100-SXM-80GB, 6, 81252 MiB, 2200 MiB, 96 %, 50 %, Enabled, 258.64 W
8, A100-SXM-80GB, 7, 81252 MiB, 2200 MiB, 92 %, 49 %, Enabled, 257.38 W
8, A100-SXM-80GB, 0, 81252 MiB, 2200 MiB, 89 %, 47 %, Enabled, 258.97 W
8, A100-SXM-80GB, 1, 81252 MiB, 2200 MiB, 96 %, 50 %, Enabled, 262.78 W
8, A100-SXM-80GB, 2, 81252 MiB, 2200 MiB, 96 %, 50 %, Enabled, 269.55 W
8, A100-SXM-80GB, 3, 81252 MiB, 2200 MiB, 96 %, 50 %, Enabled, 285.92 W
